fecha,producto,nombre_producto,COTO CICSA - BARRACAS,Express - Arzobispo Espinosa 1187,JOSIMAR SUPERMERCADOS - JOSIMAR,Supermercados Dia - 5146 - La Boca
2018-08-11,2400592000002,Chorizo Especial x 1 Kg,0,0,0,0
2018-08-11,7500435012355,Acondicionador Hidratacion Max Pro V Pantene 400 Ml,122.99,0,132.9,122.19
2018-08-11,7501065904522,Acondicionador Hidradisiaco Herbal Essences 300 Ml,63.49,0,72.99,74.39
2018-08-11,7506295302292,Shampoo Hidradisiaco Herbal Essences 300 Ml,0,0,0,74.39
2018-08-11,7622300724269,Fideos Mostacholes Rayados Terrabusi 500 Gr,26.99,30,25,0
2018-08-11,7622300847234,Galletitas Clasicas Express Pack 3 Un 324 Gr,39.89,42,39.9,35.59
2018-08-11,7790040872202,Galletitas Sandwich Traviata Pack 3 Un 303 Gr,39.49,43,36.5,39.19
2018-08-11,7790060023684,Aceite de Girasol Cocinero 1.5 Lt,63.99,75,75.9,76.99
2018-08-11,7790070318596,Fideos Mostacholes Rayado Matarazzo 500 Gr,32.99,36,32,32.99
2018-08-11,7790070410603,Arroz Largo Fino Lucchetti 1 Kg,33.99,32,33,33.99
2018-08-11,7790070411716,Arroz Gallo Oro 1 Kg,59.99,66,58.5,59.99
2018-08-11,7790070507235,Harina de Trigo 000 con Vita Zinc Favorita 1 Kg,20.69,23,20,22.49
2018-08-11,7790150006122,Cafe Molido Torrado Clasico Equilibrado La Virginia 250 Gr,59.99,57,65,57.69
2018-08-11,7790170901872,Cafe Molido Torrado Clasico Equilibrado La Morenita 250 Gr,56.99,62,63,51.89
2018-08-11,7790250019565,Papel Higienico Doble Hoja Premium Higienol Pack 4 Un 120 Mt,76.99,83,74.9,0
2018-08-11,7790272001029,Aceite de Girasol Natura 1.5 Lt,82.99,80,82.9,83.19
2018-08-11,7790387113310,Yerba Mate con Palo Origen Controlado Taragui 1 Kg,105.59,113,105,0
2018-08-11,7790520018649,Limpiador Liquido para Vidrios y Multiuso Doypack Mr Musculo 450 Ml,25.99,30,26.9,25.89
