fecha,sucursal,producto,precio_lista,nombre_sucursal,direccion_sucursal,bandera_descripcion,nombre_producto
2018-08-11,12-1-220,7790272001029,82.99,BARRACAS,Gaspar M De Jovellanos 151,COTO CICSA,Aceite de Girasol Natura 1.5 Lt
2018-08-11,29-1-5,7790272001029,82.9,JOSIMAR,Av Montes De Oca 1597,JOSIMAR SUPERMERCADOS,Aceite de Girasol Natura 1.5 Lt
2018-08-11,10-3-557,7790272001029,80,Arzobispo Espinosa 1187,Arzobispo Espinosa 1187,Express,Aceite de Girasol Natura 1.5 Lt
2018-08-11,15-1-5146,7790272001029,83.19,5146 - La Boca,Regimiento Patricios 154,Supermercados Dia,Aceite de Girasol Natura 1.5 Lt
2018-08-11,12-1-220,7790040872202,39.49,BARRACAS,Gaspar M De Jovellanos 151,COTO CICSA,Galletitas Sandwich Traviata Pack 3 Un 303 Gr
2018-08-11,29-1-5,7790040872202,36.5,JOSIMAR,Av Montes De Oca 1597,JOSIMAR SUPERMERCADOS,Galletitas Sandwich Traviata Pack 3 Un 303 Gr
2018-08-11,10-3-557,7790040872202,43,Arzobispo Espinosa 1187,Arzobispo Espinosa 1187,Express,Galletitas Sandwich Traviata Pack 3 Un 303 Gr
2018-08-11,15-1-5146,7790040872202,39.19,5146 - La Boca,Regimiento Patricios 154,Supermercados Dia,Galletitas Sandwich Traviata Pack 3 Un 303 Gr
2018-08-11,12-1-220,7791110001874,11.14,BARRACAS,Gaspar M De Jovellanos 151,COTO CICSA,Fideos Mostacholes Manera 500 Gr
2018-08-11,29-1-5,7791110001874,11.14,JOSIMAR,Av Montes De Oca 1597,JOSIMAR SUPERMERCADOS,Fideos Mostacholes Manera 500 Gr
2018-08-11,10-3-557,7791110001874,NA,Arzobispo Espinosa 1187,Arzobispo Espinosa 1187,Express,Fideos Mostacholes Manera 500 Gr
2018-08-11,15-1-5146,7791110001874,NA,5146 - La Boca,Regimiento Patricios 154,Supermercados Dia,Fideos Mostacholes Manera 500 Gr
2018-08-11,12-1-220,7791120031557,28.3,BARRACAS,Gaspar M De Jovellanos 151,COTO CICSA,Arroz Largo Fino 00000 Molinos Ala 1 Kg
2018-08-11,29-1-5,7791120031557,29.9,JOSIMAR,Av Montes De Oca 1597,JOSIMAR SUPERMERCADOS,Arroz Largo Fino 00000 Molinos Ala 1 Kg
2018-08-11,10-3-557,7791120031557,32,Arzobispo Espinosa 1187,Arzobispo Espinosa 1187,Express,Arroz Largo Fino 00000 Molinos Ala 1 Kg
2018-08-11,15-1-5146,7791120031557,NA,5146 - La Boca,Regimiento Patricios 154,Supermercados Dia,Arroz Largo Fino 00000 Molinos Ala 1 Kg
2018-08-11,12-1-220,7792360002079,74.09,BARRACAS,Gaspar M De Jovellanos 151,COTO CICSA,Cafe Molido Torrado Intenso Bonafide 250 Gr
2018-08-11,29-1-5,7792360002079,72,JOSIMAR,Av Montes De Oca 1597,JOSIMAR SUPERMERCADOS,Cafe Molido Torrado Intenso Bonafide 250 Gr
2018-08-11,10-3-557,7792360002079,NA,Arzobispo Espinosa 1187,Arzobispo Espinosa 1187,Express,Cafe Molido Torrado Intenso Bonafide 250 Gr
2018-08-11,15-1-5146,7792360002079,67.79,5146 - La Boca,Regimiento Patricios 154,Supermercados Dia,Cafe Molido Torrado Intenso Bonafide 250 Gr
2018-08-11,12-1-220,7794000597525,37.39,BARRACAS,Gaspar M De Jovellanos 151,COTO CICSA,Caldo de Gallina con Recetas Knorr 12 Un
2018-08-11,29-1-5,7794000597525,37.9,JOSIMAR,Av Montes De Oca 1597,JOSIMAR SUPERMERCADOS,Caldo de Gallina con Recetas Knorr 12 Un
2018-08-11,10-3-557,7794000597525,NA,Arzobispo Espinosa 1187,Arzobispo Espinosa 1187,Express,Caldo de Gallina con Recetas Knorr 12 Un
2018-08-11,15-1-5146,7794000597525,37.29,5146 - La Boca,Regimiento Patricios 154,Supermercados Dia,Caldo de Gallina con Recetas Knorr 12 Un
2018-08-11,12-1-220,7792798000708,NA,BARRACAS,Gaspar M De Jovellanos 151,COTO CICSA,Cerveza Rubia Iguana 970 Cc
2018-08-11,29-1-5,7792798000708,NA,JOSIMAR,Av Montes De Oca 1597,JOSIMAR SUPERMERCADOS,Cerveza Rubia Iguana 970 Cc
2018-08-11,10-3-557,7792798000708,35,Arzobispo Espinosa 1187,Arzobispo Espinosa 1187,Express,Cerveza Rubia Iguana 970 Cc
2018-08-11,15-1-5146,7792798000708,39.75,5146 - La Boca,Regimiento Patricios 154,Supermercados Dia,Cerveza Rubia Iguana 970 Cc
2018-08-11,12-1-220,7792180001528,19.19,BARRACAS,Gaspar M De Jovellanos 151,COTO CICSA,Harina de Trigo 000 Cañuelas 1 Kg
2018-08-11,29-1-5,7792180001528,20.4,JOSIMAR,Av Montes De Oca 1597,JOSIMAR SUPERMERCADOS,Harina de Trigo 000 Cañuelas 1 Kg
2018-08-11,10-3-557,7792180001528,22,Arzobispo Espinosa 1187,Arzobispo Espinosa 1187,Express,Harina de Trigo 000 Cañuelas 1 Kg
2018-08-11,15-1-5146,7792180001528,NA,5146 - La Boca,Regimiento Patricios 154,Supermercados Dia,Harina de Trigo 000 Cañuelas 1 Kg
