producto,nombre_producto
"7790272001029",Aceite de Girasol Natura 1.5 Lt
"7790040872202",Galletitas Sandwich Traviata Pack 3 Un 303 Gr
"7791110001874",Fideos Mostacholes Manera 500 Gr
"7791120031557",Arroz Largo Fino 00000 Molinos Ala 1 Kg
"7792360002079",Cafe Molido Torrado Intenso Bonafide 250 Gr
"7794000597525",Caldo de Gallina con Recetas Knorr 12 Un
"7792798000708",Cerveza Rubia Iguana 970 Cc
"7792180001528",Harina de Trigo 000 Cañuelas 1 Kg
"7792798006199",Cerveza Rubia Stella Artois 970 Cc
"7791290011762",Jabon en Polvo Alta Espuma Multiaccion Poder Acelerador Ala 800 Gr
"7791290012387",Detergente Cremoso con Colageno Ala Plus 750 Cc
"7790070411716",Arroz Gallo Oro 1 Kg
"7795184005004",Mermelada de Durazno Frasco Noel 454 Gr
"7790060023684",Aceite de Girasol Cocinero 1.5 Lt
"7792710000014",Yerba Mate con Palo Amanda 1 Kg
"7792878000017",Azucar Domino 1 Kg
"7792180004512",Harina de Trigo 000 Pureza 1 Kg
"7622300847234",Galletitas Clasicas Express Pack 3 Un 324 Gr
"7793913000986",Queso Untable Blanco Light Tregar 300 Gr
"7798159715731",Gaseosa Cola Carrefour 2.25 Lt 
"7790170901872",Cafe Molido Torrado Clasico Equilibrado La Morenita 250 Gr
"7798003690252",Carbon Vegetal x 4 Kg
"7790639001976",Gaseosa Cola Cunnington 2.25 Lt
"7791100000481",Azucar Tipo A Chango 1 Kg
"7793360801709",Mermelada de Ciruela Frasco La Campagnola 454 Gr
"7794000597730",Caldo de Gallina Wilde 12 Un
"7798031154221",Fideos Mostacholes Knorr 500 Gr
"7791905002512",Lavandina Concentrada Premium Querubin 1 Lt
"7791130052733",Jabon Antibacterial Original Espadol 270 Gr
"7791337120204",Queso Crema Untable Clasico Casancrem 300 Gr
"7791293030937",Acondicionador Ceramidas Sedal 340 Ml
"7791290012615",Jabon en Polvo Baja Espuma Intel Perfect Results Skip 800 Gr
"7798038152749",Papel Higienico Doble Hoja Scott Rindemax Pack 4 Un 30 Mt
"7796039001608",Aceite de Girasol Legitimo 1.5 Lt
"7791813423119",Gaseosa Pepsi 2.25 Lt
"7506295302292",Shampoo Hidradisiaco Herbal Essences 300 Ml 
"7792540250450",Azucar Molida Superior Ledesma 1 Kg
"7791293018522",Jabon de Tocador Variedades Suave Pack 3 Un 270 Gr 
"7501065904522",Acondicionador Hidradisiaco Herbal Essences 300 Ml
"7790070410603",Arroz Largo Fino Lucchetti 1 Kg
"7790070318596",Fideos Mostacholes Rayado Matarazzo 500 Gr
"7791293030777",Shampoo Ceramidas Sedal 340 Ml
"7790895000997",Coca Cola Sabor Original 2.25 Lt
"7792798007387",Cerveza Rubia Cristal Quilmes 1 Lt
"2400592000002",Chorizo Especial x 1 Kg
"7500435012355",Acondicionador Hidratacion Max Pro V Pantene 400 Ml
"7790520018649",Limpiador Liquido para Vidrios y Multiuso Doypack Mr Musculo 450 Ml
"7793147000899",Cerveza Rubia Heineken 1 Lt
"7790150006122",Cafe Molido Torrado Clasico Equilibrado La Virginia 250 Gr
"7790742163905",Queso Untable Finlandia 300 Gr
"7791290001008",Jabon en Polvo Baja Espuma Lavado Total Granby 800 Gr
"7792798007424",Cerveza Rubia Bajo Cero Quilmes 1 Lt
"7790070507235",Harina de Trigo 000 con Vita Zinc Favorita 1 Kg
"7790387113310",Yerba Mate con Palo Origen Controlado Taragui 1 Kg
"7793704000225",Yerba Mate con Palo Playadito 1 Kg
"7622300724269",Fideos Mostacholes Rayados Terrabusi 500 Gr
"7790250019565",Papel Higienico Doble Hoja Premium Higienol Pack 4 Un 120 Mt
